name,upn,password,groups,oupath,domain_admin
Lars Borgerson,larsborgerson@rtc.local,Timtam-babyorange-158644,IT,OU=IT;DC=rtc;DC=local,False
Olivia Odinsdottir,oliviaodinsdottir@rtc.local,Esther-daisy-906270,IT,OU=IT;DC=rtc;DC=local,True
Liem Anderson,liemanderson@rtc.local,Timtam-babyorange-158644,IT,OU=IT;DC=rtc;DC=local,False
John Nilsson,johnnilsson@rtc.local,Timtam-babyorange-158644,IT,OU=IT;DC=rtc;DC=local,False
Jason Lindqvist,jasonlindqvist@rtc.local,Esther-daisy-906270,IT,OU=IT;DC=rtc;DC=local,True
Tiffany Kelly,tiffanykelly@rtc.local,Timtam-babyorange-158644,IT,OU=IT;DC=rtc;DC=local,False
Shane Hurst,shanehurst@rtc.local,Timtam-babyorange-158644,Legal,OU=Legal;DC=rtc;DC=local,False
Barry Shepherd,barryshepherd@rtc.local,Timtam-babyorange-158644,Executive,OU=Executive;DC=rtc;DC=local,False
Jamie Acosta,jamieacosta@rtc.local,Timtam-babyorange-158644,Executive,OU=Executive;DC=rtc;DC=local,False
Jerry Collins,jerrycollins@rtc.local,Timtam-babyorange-158644,IT,OU=IT;DC=rtc;DC=local,False
Sarah Duffy,sarahduffy@rtc.local,Timtam-babyorange-158644,Executive,OU=Executive;DC=rtc;DC=local,False
Tony Smith,tonysmith@rtc.local,Timtam-babyorange-158644,Engineering,OU=Engineering;DC=rtc;DC=local,False
Henry Gillespie,henrygillespie@rtc.local,Timtam-babyorange-158644,Executive,OU=Executive;DC=rtc;DC=local,False
Alexandria Abbott,alexandriaabbott@rtc.local,Timtam-babyorange-158644,Marketing,OU=Marketing;DC=rtc;DC=local,False
Arthur Nelson,arthurnelson@rtc.local,Timtam-babyorange-158644,IT,OU=IT;DC=rtc;DC=local,False
Jennifer Hill,jenniferhill@rtc.local,Timtam-babyorange-158644,Sales,OU=Sales;DC=rtc;DC=local,False
Ashley Strickland,ashleystrickland@rtc.local,Timtam-babyorange-158644,Marketing,OU=Marketing;DC=rtc;DC=local,False
Justin Phillips,justinphillips@rtc.local,Timtam-babyorange-158644,Sales,OU=Sales;DC=rtc;DC=local,False
William Torres,williamtorres@rtc.local,Timtam-babyorange-158644,Executive,OU=Executive;DC=rtc;DC=local,False
Alexis Mcconnell,alexismcconnell@rtc.local,Timtam-babyorange-158644,Legal,OU=Legal;DC=rtc;DC=local,False
David Barnes,davidbarnes@rtc.local,Timtam-babyorange-158644,IT,OU=IT;DC=rtc;DC=local,False
Raymond Poole,raymondpoole@rtc.local,Timtam-babyorange-158644,Sales,OU=Sales;DC=rtc;DC=local,False
William Duarte,williamduarte@rtc.local,Timtam-babyorange-158644,Marketing,OU=Marketing;DC=rtc;DC=local,False
Sally Wiggins,sallywiggins@rtc.local,Timtam-babyorange-158644,Sales,OU=Sales;DC=rtc;DC=local,False
Derek Lewis,dereklewis@rtc.local,Timtam-babyorange-158644,Marketing,OU=Marketing;DC=rtc;DC=local,False
Janet Archer,janetarcher@rtc.local,Timtam-babyorange-158644,Sales,OU=Sales;DC=rtc;DC=local,False
Jillian Vaughn,jillianvaughn@rtc.local,Timtam-babyorange-158644,IT,OU=IT;DC=rtc;DC=local,False
Brian Walton,brianwalton@rtc.local,Timtam-babyorange-158644,Marketing,OU=Marketing;DC=rtc;DC=local,False
Nicholas Collins,nicholascollins@rtc.local,Timtam-babyorange-158644,Marketing,OU=Marketing;DC=rtc;DC=local,False
Tamara Smith,tamarasmith@rtc.local,Timtam-babyorange-158644,Sales,OU=Sales;DC=rtc;DC=local,False
Sarah Gonzalez,sarahgonzalez@rtc.local,Timtam-babyorange-158644,Executive,OU=Executive;DC=rtc;DC=local,False
Angela Norman,angelanorman@rtc.local,Timtam-babyorange-158644,Engineering,OU=Engineering;DC=rtc;DC=local,False
Anne Larson,annelarson@rtc.local,Timtam-babyorange-158644,Executive,OU=Executive;DC=rtc;DC=local,False
Melanie Brown,melaniebrown@rtc.local,Timtam-babyorange-158644,Engineering,OU=Engineering;DC=rtc;DC=local,False
